マージ回数->出現オブジェクトのマップ
num,obj1,level1,obj2,level2,obj3,level3
10,jewel,1
20,jewel,1
30,jewel,2
35,jewel,2
40,trap,1
45,jewel,2
50,spike,2
55,jewel,2
60,jewel,3
65,trap,1
70,jewel,3
75,guardian,1
80,swordsman,2
85,jewel,3
90,jewel,3
95,trap,2
100,archer,2
105,jewel,3
110,trap,2
115,jewel,3
120,jewel,3
125,builder,1
130,jewel,3
135,jewel,4
140,guardian,2
145,jewel,4
150,jewel,4,jewel,4
155,guardian,1,trap,1
160,jewel,4,jewel,4
165,ghost,2,wizard,1
170,jewel,4,jewel,4
175,trap,2,ghost,2
180,spike,3,jewel,4
185,jewel,4,jewel,4
190,jewel,4,jewel,4
195,jewel,4,guardian,2
200,jewel,4,jewel,4
205,jewel,4,jewel,4
210,trap,2,boneman,2
215,jewel,4,jewel,4
220,jewel,4,jewel,4
225,jewel,4,jewel,4
230,jewel,4,jewel,4
235,jewel,4,bomb,1
240,spike,3,smoker,2
245,jewel,5,jewel,5
250,jewel,5,jewel,5
255,jewel,5,jewel,5
260,guardian,2,boneman,1
265,jewel,5,jewel,5
270,jewel,5,jewel,5
275,jewel,5,jewel,5
280,jewel,5,jewel,5
285,jewel,5,jewel,5
290,jewel,5,jewel,5
295,jewel,5,jewel,5
300,jewel,5,jewel,5
305,jewel,5,jewel,5
310,jewel,5,jewel,5
315,jewel,5,jewel,5
320,jewel,5,jewel,5
325,jewel,5,jewel,5
330,jewel,5,jewel,5
335,jewel,5,jewel,5
340,jewel,5,jewel,5
345,jewel,5,jewel,5
350,jewel,5,jewel,5
355,jewel,5,jewel,5
360,jewel,5,jewel,5
365,jewel,5,jewel,5
370,jewel,6,jewel,6
375,jewel,6,jewel,6
380,jewel,6,jewel,6
385,jewel,6,jewel,6
390,jewel,6,jewel,6
395,jewel,6,jewel,6
400,jewel,6,jewel,6
405,jewel,6,jewel,6
410,jewel,6,jewel,6
415,jewel,6,jewel,6
420,jewel,6,jewel,6
425,jewel,6,jewel,6
430,jewel,6,jewel,6
435,jewel,6,jewel,6
440,jewel,6,jewel,6
445,jewel,6,jewel,6
450,jewel,6,jewel,6
455,jewel,6,jewel,6
460,jewel,6,jewel,6
465,jewel,6,jewel,6
470,jewel,6,jewel,6
475,jewel,6,jewel,6
480,jewel,6,jewel,6
485,jewel,6,jewel,6
490,jewel,6,jewel,6
495,jewel,7,jewel,7
500,jewel,7,jewel,7
505,jewel,7,jewel,7
510,jewel,7,jewel,7
515,jewel,7,jewel,7
520,jewel,7,jewel,7
525,jewel,7,jewel,7
530,jewel,7,jewel,7
535,jewel,7,jewel,7
540,jewel,7,jewel,7
545,jewel,7,jewel,7
550,jewel,7,jewel,7
555,jewel,7,jewel,7
560,jewel,7,jewel,7
565,jewel,7,jewel,7
570,jewel,7,jewel,7
575,jewel,7,jewel,7
580,jewel,7,jewel,7
585,jewel,7,jewel,7
590,jewel,7,jewel,7
595,jewel,7,jewel,7
600,jewel,7,jewel,7
605,jewel,8,jewel,8
610,jewel,8,jewel,8
615,jewel,8,jewel,8
620,jewel,8,jewel,8
625,jewel,8,jewel,8
630,jewel,8,jewel,8
635,jewel,8,jewel,8
640,jewel,8,jewel,8
645,jewel,8,jewel,8
650,jewel,8,jewel,8
655,jewel,8,jewel,8
660,jewel,8,jewel,8
665,jewel,8,jewel,8
670,jewel,8,jewel,8
675,jewel,8,jewel,8
680,jewel,8,jewel,8
685,jewel,8,jewel,8
690,jewel,8,jewel,8
695,jewel,8,jewel,8
700,jewel,8,jewel,8
705,jewel,8,jewel,8
710,jewel,8,jewel,8
715,jewel,8,jewel,8
720,jewel,8,jewel,8
725,jewel,9,jewel,9
730,jewel,9,jewel,9
735,jewel,9,jewel,9
740,jewel,9,jewel,9
745,jewel,9,jewel,9
750,jewel,9,jewel,9
755,jewel,9,jewel,9
760,jewel,9,jewel,9
765,jewel,9,jewel,9
770,jewel,9,jewel,9
775,jewel,9,jewel,9
780,jewel,9,jewel,9
785,jewel,9,jewel,9
790,jewel,9,jewel,9
795,jewel,9,jewel,9
800,jewel,9,jewel,9
805,jewel,9,jewel,9
810,jewel,9,jewel,9
815,jewel,9,jewel,9
820,jewel,9,jewel,9
825,jewel,9,jewel,9
830,jewel,9,jewel,9
835,jewel,9,jewel,9
840,jewel,9,jewel,9
845,jewel,10,jewel,10
850,jewel,10,jewel,10
855,jewel,10,jewel,10
860,jewel,10,jewel,10
